사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2022-05,1호선,0150,서울역,627,18,9072,7775,12965,48494,41213,104898,68672,207219,56782,136237,56781,74339,68263,65168,75970,71662,77464,72686,64402,66196,86525,70070,98054,71667,146647,84463,201982,91092,101685,60567,73608,43753,80107,38968,54579,27618,21185,16808,113,1450,1,1,2,2,0,0
2022-05,1호선,0151,시청,114,1,1976,4924,3238,23336,6934,65998,8724,185243,9530,82507,11353,41741,17756,39031,20194,33528,25988,33157,32948,26393,43949,22631,49597,20870,79065,22841,147065,22071,53733,10163,46493,6193,46188,5888,30281,4237,9449,3276,56,386,0,0,0,0,0,0
2022-05,1호선,0152,종각,91,1,3922,4268,3832,25179,6045,99671,10054,238641,12218,132019,17047,59355,25434,56190,32145,49762,41536,47551,50674,39924,64519,34669,73258,36450,129565,43626,196833,48915,84160,25061,75100,11614,84726,8318,68029,5879,28375,4069,184,413,0,0,0,0,0,0
2022-05,1호선,0153,종로3가,169,18,4131,3242,3932,14383,4978,26889,8606,72094,13659,68717,20312,60249,31676,66227,42919,65216,49885,61748,58629,55234,68393,45721,73948,42323,82985,39541,99783,41891,61575,21063,50550,10467,53060,7745,45718,5872,18514,4617,155,1186,0,0,1,2,0,0
2022-05,1호선,0154,종로5가,54,0,1989,3894,2913,16958,5149,43286,8302,97652,12454,61782,20370,54484,30516,59569,39669,56034,48051,51827,56183,47265,60174,40243,63986,36522,79129,33427,96688,31357,51006,16579,35666,7877,35291,5505,22005,3962,6745,2750,53,833,0,0,0,0,0,0
2022-05,1호선,0155,동대문,906,25,11875,2131,9472,7920,15023,13433,20022,23921,18001,23889,17519,24102,19172,27481,23793,26461,25455,24059,26674,23154,27122,21606,27561,20097,26627,19794,24760,19854,17786,19527,14775,13812,13951,11464,12543,10178,4664,9172,51,1996,1,3,0,1,0,0
2022-05,1호선,0156,신설동,381,16,8741,2751,8833,11880,19066,25473,27826,61525,18781,33321,16666,22472,18617,19655,20677,19127,23029,19095,22131,18250,24543,18342,31653,19983,40436,22677,55589,27070,21974,19886,14858,12752,13677,12717,9896,11384,3657,9622,63,1763,1,1,0,1,0,0
2022-05,1호선,0157,제기동,360,1,5197,2183,9067,9219,22640,20220,32152,41578,23800,35573,27620,39887,34709,45030,39190,47602,40844,49545,43675,44357,48035,38725,46841,31470,44826,28158,40979,27374,20255,18701,12840,12222,8983,11401,5749,10215,2097,6909,22,934,0,1,0,0,0,0
2022-05,1호선,0158,청량리(서울시립대입구),1055,14,11641,4915,15965,24746,37415,18250,48213,37082,32632,35735,32381,39664,36480,42541,42222,41798,42487,45643,42537,46221,47369,44552,57308,41597,53146,43416,44620,49398,25753,32745,20057,19795,15306,19153,10005,16817,3751,10582,82,1861,0,0,0,0,0,0
2022-05,1호선,0159,동묘앞,173,3,2992,1011,3536,5108,6256,10013,10183,22352,9030,18898,10750,23428,16089,30865,23203,32316,30802,34950,33363,32125,35717,27712,35998,20595,33275,15326,24648,11063,11670,7411,6330,4957,5183,4848,3837,5729,1420,3869,13,2601,0,0,0,0,0,0
2022-05,2호선,0201,시청,69,0,1164,1629,2022,18209,4995,63810,7654,209880,9184,79180,12544,27988,19766,25759,20033,23549,25193,25620,30511,21269,36690,18787,42883,17031,84850,19952,164202,21007,51900,9590,39043,5744,38835,5434,26460,4525,9030,3979,16,451,0,0,0,1,0,0
2022-05,2호선,0202,을지로입구,81,2,1987,2826,3409,28121,9141,117500,15165,303446,17312,137934,20788,65245,29719,58525,36338,50232,46699,49312,52801,43913,64189,38339,75129,41942,137867,48932,255263,51427,101071,28684,90254,16043,65593,15065,49709,14277,18074,9806,6,6333,0,0,0,0,0,0
2022-05,2호선,0203,을지로3가,15,0,1092,1687,2303,19163,5361,67210,11370,165136,12858,65916,14870,30664,19353,26316,21878,24268,24779,26506,27633,24473,31470,22818,39132,26052,80998,33921,128724,40666,52467,25416,39675,13494,45640,10566,45503,8269,25024,5957,37,750,0,0,0,0,0,0
2022-05,2호선,0204,을지로4가,9,0,903,1274,1788,14223,3837,35295,7847,77399,7891,37638,10017,22271,13882,21818,16006,20246,18696,19476,21093,18240,24394,16201,29349,14936,52673,15215,66415,14896,28634,8598,16807,5039,14488,4331,10833,3921,4565,3125,2,353,3,1,0,1,0,0
2022-05,2호선,0205,동대문역사문화공원(DDP),252,2,5263,1273,4049,8782,6422,23144,10852,49819,10089,31160,10970,28293,14872,28492,17923,28087,19720,27787,24234,27706,29762,24363,36870,22350,42114,22754,44966,26340,26891,23736,20745,15584,21380,13028,17289,10645,6813,9411,14,1438,0,1,0,0,0,0
2022-05,2호선,0206,신당,23,2,6436,1309,11754,9299,28241,18188,45759,33100,27310,23587,19264,19124,19333,19929,22583,21580,22149,22588,21835,22206,23060,23505,27755,27689,30667,36491,33385,49493,22854,33058,17629,20130,16497,19180,13886,17816,5789,13577,13,692,0,0,0,0,0,0
2022-05,2호선,0207,상왕십리,74,0,5621,700,13857,5970,40831,12692,64915,35028,35160,19071,22352,13108,19727,12523,21817,14936,20285,15804,18475,16978,19407,20331,21374,25181,26399,33973,27629,50658,18840,35324,13237,22524,11259,22630,8056,20773,2662,15535,17,395,1,2,0,0,0,0
2022-05,2호선,0208,왕십리(성동구청),1013,2,8622,1337,11432,6911,27249,13829,47436,27875,30273,19436,21001,15853,21096,16372,23688,18639,24367,19349,25193,20139,27609,21689,33381,27030,39133,37412,39669,58980,26651,37763,25338,23244,29007,21172,33135,20021,18178,17684,22,738,1,1,0,0,0,0
2022-05,2호선,0209,한양대,16,0,1892,400,2770,5960,5290,11774,8427,63288,6299,58373,8191,53854,12742,18772,19083,37575,17410,28547,23447,25543,30219,18920,42772,19224,56931,27275,40295,31779,22981,18927,21469,11345,25892,8324,24788,6674,23237,5616,22,134,0,0,0,0,0,0
2022-05,2호선,0210,뚝섬,18,0,3625,1919,8640,15417,18596,37788,25698,134021,18077,91340,14781,41514,16445,33259,19610,34709,23727,36560,27399,32775,34456,33317,45613,33415,70342,38580,127762,46623,64793,27241,44361,15349,40986,13113,30277,11617,10397,8349,24,546,0,1,0,0,0,0
2022-05,2호선,0211,성수,59,2,5833,4250,9740,30303,23905,77335,32331,263000,23823,143211,21638,57893,23211,49983,28333,51620,34474,55890,40435,53261,47979,51392,63330,51836,114300,59900,230757,68084,106374,40791,70646,20670,68337,16133,52114,15337,18922,15229,20,7436,0,1,0,0,0,0
2022-05,2호선,0212,건대입구,564,23,19475,2119,23951,19882,54729,26720,93971,65005,63895,54331,39622,46447,38495,52448,46077,59068,50182,65474,52256,64594,58433,68488,68495,83932,80821,117585,93750,167260,73630,117870,74241,70614,84129,62791,91474,55808,48210,37966,97,5985,0,0,0,0,0,0
2022-05,2호선,0213,구의(광진구청),47,1,14151,1319,27807,13376,69099,15506,114705,38854,66704,23496,36630,20126,30681,19787,31621,23029,31150,25676,27893,27370,27864,34503,33232,40029,36282,56095,44075,91365,23137,68002,18597,43948,17167,42635,15730,40766,7204,25774,47,2215,1,1,0,0,0,0
2022-05,2호선,0214,강변(동서울터미널),23,1,8412,2685,28404,25841,79688,28325,116837,48650,84895,41525,66134,39045,57384,36706,54858,41801,52931,45578,48404,49948,50358,58681,53961,65871,62550,83252,68944,114099,51876,82750,40500,56752,32301,48503,22911,45056,8481,26287,18,1807,0,0,0,0,0,0
2022-05,2호선,0215,잠실나루,17,0,3224,1922,12075,10305,39569,23726,46619,39182,29512,24339,24158,18713,23255,17052,22888,19810,21533,21976,22112,19663,24389,19445,29097,21217,36444,27881,31431,39735,15271,28884,11558,18255,8589,18151,6746,17837,2604,11284,17,774,1,1,0,0,0,0
2022-05,2호선,0216,잠실(송파구청),113,7,12065,5543,49310,35850,115759,77384,165053,188736,121849,167482,83980,110580,83244,110938,92090,108545,100639,109923,105909,107318,123872,116376,145078,132125,181433,173320,228510,228451,153400,151250,169436,101068,151497,93039,94076,87650,27699,54992,83,4601,0,0,0,0,0,0
2022-05,2호선,0217,잠실새내,25,1,5351,1026,17561,10370,55679,16878,74734,28168,47267,30029,31902,23903,29874,26119,31739,31409,31857,33855,28936,34441,32623,40700,36448,46602,39406,62449,42592,83797,31615,58426,29179,36043,28809,31227,29877,29472,14971,18611,36,1806,0,0,0,0,0,0
2022-05,2호선,0218,종합운동장,5,1,1815,1007,6041,9281,16908,19132,22695,28618,16458,14848,11636,13112,11645,13154,12845,28978,11175,49040,11129,21600,15359,27795,26063,41203,56481,62395,29355,78792,21000,24145,32069,11796,57155,11484,52438,11324,10705,7195,14,884,2,1,0,0,0,0
2022-05,2호선,0219,삼성(무역센터),176,2,4473,5252,7586,40788,14798,132352,20937,333713,20969,236469,22830,103083,34747,75817,45098,67294,58006,73582,69605,63085,87863,53004,109750,52598,198079,58518,293921,62183,150356,34457,108538,18168,95522,15161,67199,12844,18442,8576,25,6185,0,0,0,1,0,0
2022-05,2호선,0220,선릉,116,4,4916,6247,11222,40672,21535,112167,33793,285740,30811,217755,34541,101003,44618,61290,53766,57099,62318,63423,71023,53279,90588,48158,116788,45512,180932,53987,291155,59413,141855,36283,90139,21779,89335,19169,80075,17571,27552,12197,23,805,0,0,0,0,0,0
2022-05,2호선,0221,역삼,26,0,3951,7489,8697,37814,14938,138206,26027,349341,23051,302404,24204,121944,31902,65030,39104,55895,47539,61064,56309,50292,71885,45194,92732,43362,193030,50939,274236,60088,146224,36037,84059,21216,82272,17385,63480,14959,21854,10312,12,284,0,0,0,1,0,0
2022-05,2호선,0222,강남,258,8,12741,11347,20618,52097,40609,151258,66644,326162,54139,323911,52959,152507,70424,110272,86549,108047,101771,124144,112424,109748,137521,104881,161281,114359,243269,146327,332425,204867,210689,124254,165782,63903,193551,51465,193341,45273,84370,32046,113,975,1,1,0,0,0,0
2022-05,2호선,0223,교대(법원.검찰청),31,1,2630,6967,12687,26442,27364,57983,37256,157375,30919,141332,29633,68109,34574,57023,37767,52414,45620,56087,52955,50667,57362,47505,63192,51439,96409,64726,141962,78881,67555,46285,54255,25753,60421,23662,51816,22931,18933,15716,39,523,0,0,0,0,0,0
2022-05,2호선,0224,서초,9,0,1535,4422,8241,20768,17101,49763,26675,114542,28198,93139,21546,40588,28047,31842,25457,23714,33754,26515,33517,23959,39341,20570,46818,22188,69158,24451,97105,25528,43225,17745,29322,10915,30445,10263,20346,10429,6489,6253,2,135,0,0,0,0,0,0
2022-05,2호선,0225,방배,1,0,2636,2888,9616,11599,23820,28493,34095,75829,26658,57854,20107,32417,21055,28970,24193,29602,26437,29075,28369,26155,33560,26566,39709,26222,49171,33233,73185,40023,32875,28920,24495,17889,24888,17318,21290,17765,7258,11244,9,309,0,1,0,0,0,0
2022-05,2호선,0226,사당,106,8,12935,4361,27455,33936,75496,48774,107384,69353,77854,54779,48746,48064,45200,54051,51980,55741,54207,53870,57170,52537,59474,62613,64449,82777,75815,117443,95213,172129,65839,119208,62727,70585,68741,67327,68805,67128,33237,48845,120,5738,0,0,0,1,0,0
2022-05,2호선,0227,낙성대(강감찬),33,2,11696,2170,27465,10899,80792,21395,127985,40756,80893,36231,44428,30365,38439,25463,42161,28275,41487,30171,37144,30607,36744,36679,43126,43572,48864,59943,51868,98221,30357,87142,23869,55618,22719,54229,18076,55486,7876,35358,14,3873,0,0,0,0,0,0
2022-05,2호선,0228,서울대입구(관악구청),3970,17,29156,2716,45461,16657,128918,33125,183240,73215,121958,69781,69854,61144,62797,48962,70540,54488,70643,59709,65813,59376,70802,67635,78092,77154,90603,108659,96179,177476,59649,148288,50329,88937,51734,83446,47615,85884,19761,56518,8,19093,0,0,0,0,0,0
