사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차,작업일시
2022-05,1호선,0150,서울역,"1,190,797","1,163,681","205,902","197,470",2022-06-13 17:02:27
2022-05,1호선,0151,시청,"558,803","570,475","85,828","83,940",2022-06-13 17:02:27
2022-05,1호선,0152,종각,"863,844","838,956","143,903","132,619",2022-06-13 17:02:27
2022-05,1호선,0153,종로3가,"481,950","426,618","311,628","287,827",2022-06-13 17:02:27
2022-05,1호선,0154,종로5가,"408,794","416,893","267,599","254,913",2022-06-13 17:02:27
2022-05,1호선,0155,동대문,"230,761","216,468","126,992","127,612",2022-06-13 17:02:27
2022-05,1호선,0156,신설동,"281,354","274,445","119,741","115,318",2022-06-13 17:02:27
2022-05,1호선,0157,제기동,"231,626","222,252","278,255","299,053",2022-06-13 17:02:27
2022-05,1호선,0158,청량리(서울시립대입구),"357,054","351,875","263,371","264,650",2022-06-13 17:02:27
2022-05,1호선,0159,동묘앞,"136,595","147,230","167,873","167,950",2022-06-13 17:02:27
2022-05,2호선,0201,시청,"572,926","554,849","54,118","48,545",2022-06-13 17:02:27
2022-05,2호선,0202,을지로입구,"995,396","1,038,790","95,199","89,114",2022-06-13 17:02:27
2022-05,2호선,0203,을지로3가,"556,535","566,229","73,647","73,019",2022-06-13 17:02:27
2022-05,2호선,0204,을지로4가,"270,510","276,473","79,622","78,024",2022-06-13 17:02:27
2022-05,2호선,0205,동대문역사문화공원(DDP),"315,488","362,483","56,002","61,712",2022-06-13 17:02:27
2022-05,2호선,0206,신당,"319,684","335,011","96,538","97,532",2022-06-13 17:02:27
2022-05,2호선,0207,상왕십리,"346,200","327,258","65,795","66,878",2022-06-13 17:02:27
2022-05,2호선,0208,왕십리(성동구청),"460,406","381,008","53,088","44,468",2022-06-13 17:02:27
2022-05,2호선,0209,한양대,"381,122","438,491","13,051","13,813",2022-06-13 17:02:27
2022-05,2호선,0210,뚝섬,"586,029","627,344","59,598","60,109",2022-06-13 17:02:27
2022-05,2호선,0211,성수,"913,780","1,028,214","102,781","105,343",2022-06-13 17:02:27
2022-05,2호선,0212,건대입구,"1,064,778","1,148,599","91,719","95,811",2022-06-13 17:02:27
2022-05,2호선,0213,구의(광진구청),"571,155","549,948","102,669","103,925",2022-06-13 17:02:27
2022-05,2호선,0214,강변(동서울터미널),"868,419","824,816","121,451","118,347",2022-06-13 17:02:27
2022-05,2호선,0215,잠실나루,"327,308","316,529","83,801","83,623",2022-06-13 17:02:27
2022-05,2호선,0216,잠실(송파구청),"2,008,822","1,979,204","196,273","185,974",2022-06-13 17:02:27
2022-05,2호선,0217,잠실새내,"536,115","540,743","104,366","104,589",2022-06-13 17:02:27
2022-05,2호선,0218,종합운동장,"369,686","420,587","53,307","55,198",2022-06-13 17:02:27
2022-05,2호선,0219,삼성(무역센터),"1,313,831","1,346,561","115,089","106,571",2022-06-13 17:02:27
2022-05,2호선,0220,선릉,"1,271,799","1,133,035","205,302","180,518",2022-06-13 17:02:27
2022-05,2호선,0221,역삼,"1,161,337","1,342,624","144,195","146,632",2022-06-13 17:02:27
2022-05,2호선,0222,강남,"2,171,896","2,206,007","169,583","151,845",2022-06-13 17:02:27
2022-05,2호선,0223,교대(법원.검찰청),"771,987","880,214","151,393","171,607",2022-06-13 17:02:27
2022-05,2호선,0224,서초,"526,194","496,801","80,137","80,928",2022-06-13 17:02:27
2022-05,2호선,0225,방배,"449,577","469,544","73,850","72,828",2022-06-13 17:02:27
2022-05,2호선,0226,사당,"949,287","1,091,089","203,666","198,179",2022-06-13 17:02:27
2022-05,2호선,0227,낙성대(강감찬),"708,833","677,493","107,203","108,962",2022-06-13 17:02:27
2022-05,2호선,0228,서울대입구(관악구청),"1,235,248","1,217,288","181,874","174,992",2022-06-13 17:02:27
2022-05,2호선,0229,봉천,"545,670","485,666","141,662","141,216",2022-06-13 17:02:27
2022-05,2호선,0230,신림,"1,641,202","1,568,722","230,366","232,424",2022-06-13 17:02:27
2022-05,2호선,0231,신대방,"661,249","627,249","129,957","131,522",2022-06-13 17:02:27
2022-05,2호선,0232,구로디지털단지,"1,460,507","1,449,595","168,079","168,958",2022-06-13 17:02:27
2022-05,2호선,0233,대림(구로구청),"589,999","600,159","122,993","126,743",2022-06-13 17:02:27
2022-05,2호선,0234,신도림,"1,234,101","1,257,294","199,750","189,975",2022-06-13 17:02:27
2022-05,2호선,0235,문래,"513,677","537,146","89,978","89,007",2022-06-13 17:02:27
2022-05,2호선,0236,영등포구청,"506,317","532,864","98,670","98,083",2022-06-13 17:02:27
2022-05,2호선,0237,당산,"489,890","565,534","61,254","66,163",2022-06-13 17:02:27
2022-05,2호선,0238,합정,"881,619","967,769","69,192","70,049",2022-06-13 17:02:27
2022-05,2호선,0239,홍대입구,"1,775,449","1,916,369","96,504","93,138",2022-06-13 17:02:27
2022-05,2호선,0240,신촌,"921,975","941,579","121,079","119,256",2022-06-13 17:02:27
2022-05,2호선,0241,이대,"367,954","389,380","47,880","50,161",2022-06-13 17:02:27
2022-05,2호선,0242,아현,"246,067","227,891","63,846","63,099",2022-06-13 17:02:27
2022-05,2호선,0243,충정로(경기대입구),"226,839","244,424","47,118","47,750",2022-06-13 17:02:27
2022-05,2호선,0244,용답,"72,869","73,576","17,975","17,546",2022-06-13 17:02:27
2022-05,2호선,0245,신답,"38,490","41,690","9,892","10,365",2022-06-13 17:02:27
2022-05,2호선,0246,신설동,"74,936","69,725","33,315","34,746",2022-06-13 17:02:27
2022-05,2호선,0247,도림천,"28,709","29,520","8,360","8,947",2022-06-13 17:02:27
2022-05,2호선,0248,양천구청,"151,426","153,875","48,900","49,484",2022-06-13 17:02:27
2022-05,2호선,0249,신정네거리,"233,435","236,125","71,604","72,662",2022-06-13 17:02:27
2022-05,2호선,0250,용두(동대문구청),"44,565","43,456","22,714","23,745",2022-06-13 17:02:27
2022-05,3호선,0309,지축,"122,019","111,196","28,214","26,707",2022-06-13 17:02:27
2022-05,3호선,0310,구파발,"503,019","491,694","122,664","118,132",2022-06-13 17:02:27
2022-05,3호선,0311,연신내,"825,562","770,802","261,915","253,063",2022-06-13 17:02:27
2022-05,3호선,0312,불광,"348,136","374,624","141,039","155,579",2022-06-13 17:02:27
2022-05,3호선,0313,녹번,"375,363","323,973","78,231","76,446",2022-06-13 17:02:27
2022-05,3호선,0314,홍제,"388,533","360,477","143,967","140,608",2022-06-13 17:02:27
2022-05,3호선,0315,무악재,"85,325","85,900","29,358","31,895",2022-06-13 17:02:27
2022-05,3호선,0316,독립문,"151,730","165,724","72,477","73,329",2022-06-13 17:02:27
2022-05,3호선,0317,경복궁(정부서울청사),"681,287","719,456","149,845","162,578",2022-06-13 17:02:27
2022-05,3호선,0318,안국,"611,557","634,980","106,144","107,181",2022-06-13 17:02:27
2022-05,3호선,0319,종로3가,"222,836","276,480","58,004","65,466",2022-06-13 17:02:27
2022-05,3호선,0320,을지로3가,"243,679","257,202","47,700","45,503",2022-06-13 17:02:27
2022-05,3호선,0321,충무로,37,0,5,0,2022-06-13 17:02:27
2022-05,3호선,0322,동대입구,"230,230","257,287","37,948","42,048",2022-06-13 17:02:27
2022-05,3호선,0323,약수,"299,529","291,291","81,829","77,767",2022-06-13 17:02:27
2022-05,3호선,0324,금호,"178,560","160,596","53,998","52,771",2022-06-13 17:02:27
2022-05,3호선,0325,옥수,"214,456","215,839","60,230","60,149",2022-06-13 17:02:27
2022-05,3호선,0326,압구정,"761,221","838,810","133,453","131,932",2022-06-13 17:02:27
2022-05,3호선,0327,신사,"804,730","858,417","73,862","71,565",2022-06-13 17:02:27
2022-05,3호선,0328,잠원,"113,689","108,616","31,628","30,225",2022-06-13 17:02:27
2022-05,3호선,0329,고속터미널,"1,280,455","1,245,061","190,604","183,579",2022-06-13 17:02:27
2022-05,3호선,0330,교대(법원.검찰청),"333,488","219,779","69,384","41,522",2022-06-13 17:02:27
2022-05,3호선,0331,남부터미널(예술의전당),"733,255","748,215","120,272","121,485",2022-06-13 17:02:27
2022-05,3호선,0332,양재(서초구청),"905,508","1,013,227","152,672","155,945",2022-06-13 17:02:27
2022-05,3호선,0333,매봉,"277,033","271,893","63,196","58,540",2022-06-13 17:02:27
2022-05,3호선,0334,도곡,"127,280","133,273","25,269","24,450",2022-06-13 17:02:27
2022-05,3호선,0335,대치,"264,285","259,907","63,251","60,564",2022-06-13 17:02:27
2022-05,3호선,0336,학여울,"66,294","68,810","16,343","15,988",2022-06-13 17:02:27
2022-05,3호선,0337,대청,"229,369","208,507","58,925","56,743",2022-06-13 17:02:27
2022-05,3호선,0338,일원,"224,528","213,644","63,261","63,007",2022-06-13 17:02:27
2022-05,3호선,0339,수서,"410,597","416,407","107,014","106,781",2022-06-13 17:02:27
2022-05,3호선,0340,가락시장,"181,817","179,587","74,370","72,706",2022-06-13 17:02:27
2022-05,3호선,0341,경찰병원,"159,385","156,806","40,806","41,792",2022-06-13 17:02:27
2022-05,3호선,0342,오금,"147,973","133,766","29,884","28,506",2022-06-13 17:02:27
2022-05,4호선,0409,당고개,"200,149","173,560","78,092","76,521",2022-06-13 17:02:27
2022-05,4호선,0410,상계,"456,124","410,280","124,246","121,562",2022-06-13 17:02:27
2022-05,4호선,0411,노원,"487,217","562,129","92,121","91,505",2022-06-13 17:02:27
2022-05,4호선,0412,창동,"565,706","598,268","200,474","207,054",2022-06-13 17:02:27
2022-05,4호선,0413,쌍문,"696,180","619,416","163,955","160,664",2022-06-13 17:02:27
2022-05,4호선,0414,수유(강북구청),"820,216","813,972","193,366","192,549",2022-06-13 17:02:27
2022-05,4호선,0415,미아(서울사이버대학),"336,290","313,923","110,567","112,022",2022-06-13 17:02:27
2022-05,4호선,0416,미아사거리,"637,715","607,808","182,533","180,574",2022-06-13 17:02:27
2022-05,4호선,0417,길음,"523,737","509,115","117,891","117,736",2022-06-13 17:02:27
2022-05,4호선,0418,성신여대입구(돈암),"549,429","521,820","86,423","83,736",2022-06-13 17:02:27
2022-05,4호선,0419,한성대입구(삼선교),"363,464","353,007","75,387","74,512",2022-06-13 17:02:27
2022-05,4호선,0420,혜화,"922,747","945,385","126,029","125,019",2022-06-13 17:02:27
2022-05,4호선,0421,동대문,"407,151","427,718","162,569","156,607",2022-06-13 17:02:27
2022-05,4호선,0422,동대문역사문화공원(DDP),"383,587","347,910","58,439","52,347",2022-06-13 17:02:27
2022-05,4호선,0423,충무로,"639,744","679,098","114,003","116,813",2022-06-13 17:02:27
2022-05,4호선,0424,명동,"553,655","583,926","63,022","65,254",2022-06-13 17:02:27
2022-05,4호선,0425,회현(남대문시장),"523,927","564,051","203,446","203,974",2022-06-13 17:02:27
2022-05,4호선,0426,서울역,"281,329","499,864","37,895","50,898",2022-06-13 17:02:27
2022-05,4호선,0427,숙대입구(갈월),"364,148","355,243","52,987","49,857",2022-06-13 17:02:27
2022-05,4호선,0428,삼각지,"131,731","158,308","25,858","27,843",2022-06-13 17:02:27
2022-05,4호선,0429,신용산,"441,894","473,148","52,720","53,038",2022-06-13 17:02:27
2022-05,4호선,0430,이촌(국립중앙박물관),"227,427","254,595","52,679","54,969",2022-06-13 17:02:27
2022-05,4호선,0431,동작(현충원),"38,340","44,268","17,748","17,755",2022-06-13 17:02:27
2022-05,4호선,0432,총신대입구(이수),"412,584","452,020","153,082","160,445",2022-06-13 17:02:27
2022-05,4호선,0433,사당,"706,226","597,203","97,657","97,533",2022-06-13 17:02:27
2022-05,4호선,0434,남태령,"31,832","24,285","9,379","8,418",2022-06-13 17:02:27
2022-05,경부선,1001,서울역,"242,137","70,298","15,485","3,287",2022-06-13 17:02:27
2022-05,경부선,1002,남영,"236,756","253,615","36,232","37,648",2022-06-13 17:02:27
2022-05,경부선,1003,용산,"1,057,367","1,080,555","132,826","131,908",2022-06-13 17:02:27
2022-05,경부선,1004,노량진,"227,660","226,715","42,642","39,939",2022-06-13 17:02:27
2022-05,경부선,1005,대방,"305,618","316,028","70,147","70,381",2022-06-13 17:02:27
2022-05,경부선,1006,영등포,"983,006","1,026,200","252,976","252,261",2022-06-13 17:02:27
2022-05,경부선,1007,신도림,"95,067","96,934","27,603","31,755",2022-06-13 17:02:27
2022-05,경부선,1032,신길,"222,858","188,716","46,512","43,564",2022-06-13 17:02:27
2022-05,경부선,1701,구로,"442,638","466,314","97,651","94,924",2022-06-13 17:02:27
2022-05,경부선,1702,가산디지털단지,"440,188","519,134","36,352","40,841",2022-06-13 17:02:27
2022-05,경부선,1703,금천구청,"270,989","267,076","83,252","84,128",2022-06-13 17:02:27
2022-05,경부선,1704,석수,"239,326","213,797","51,239","49,093",2022-06-13 17:02:27
2022-05,경부선,1705,관악,"177,439","164,218","56,781","54,159",2022-06-13 17:02:27
2022-05,경부선,1706,안양,"663,271","649,546","118,766","122,809",2022-06-13 17:02:27
2022-05,경부선,1707,명학,"235,731","231,168","44,045","43,216",2022-06-13 17:02:27
2022-05,경부선,1708,금정,"678,655","683,499","123,060","123,734",2022-06-13 17:02:27
2022-05,경부선,1709,군포,"177,641","172,653","36,725","35,742",2022-06-13 17:02:27
2022-05,경부선,1710,의왕,"232,846","229,440","45,888","45,315",2022-06-13 17:02:27
2022-05,경부선,1711,성균관대,"411,068","409,030","54,113","54,210",2022-06-13 17:02:27
2022-05,경부선,1712,화서,"206,098","197,264","45,332","44,092",2022-06-13 17:02:27
2022-05,경부선,1713,수원,"1,101,136","1,169,730","152,497","154,304",2022-06-13 17:02:27
2022-05,경부선,1714,독산,"440,461","448,747","66,253","67,376",2022-06-13 17:02:27
2022-05,경부선,1715,세류,"80,731","74,538","16,547","15,934",2022-06-13 17:02:27
2022-05,경부선,1716,병점,"432,529","434,569","69,193","69,144",2022-06-13 17:02:27
2022-05,경부선,1717,세마,"74,824","69,577","16,018","14,970",2022-06-13 17:02:27
